	dim1	dim2	pt
E415_791	-7.142856	5.772193	0.99121
E627_290	2.0375252	3.4883008	0.36181
E60_103	7.751993	7.1155915	0.12688
E542_158	4.9765596	5.037773	0.19598
E244_388	-3.3683996	4.331728	0.48492
E111_439	-3.6595855	4.4795685	0.54899
E622_710	-6.9267	5.29981	0.88945
E254_434	-3.365456	4.184388	0.54271
E315_698	1.4020219	-5.3215437	0.87437
E559_317	2.7922852	2.9998014	0.39573
E454_326	1.4712614	1.5903679	0.40704
E727_247	3.267021	3.7896802	0.30779
E509_442	0.7552398	-4.2117515	0.55276
E237_248	2.8933637	2.5797179	0.30905
E856_157	5.3628683	5.6125283	0.19472
E565_122	6.7215652	6.4804025	0.15075
E33_404	0.9362833	0.33256546	0.50503
E334_376	1.5566483	1.2955296	0.46985
E173_553	-5.636375	4.471472	0.69221
E512_95	7.613934	7.394871	0.11683
E947_184	5.455586	5.22547	0.22864
E583_121	7.600002	7.54789	0.1495
E175_80	7.8366704	7.6507435	0.09799
E951_610	-4.9039283	4.7470856	0.76382
E532_110	6.183454	6.0229793	0.13568
E23_335	1.1941926	-0.03955457	0.41834
E151_788	-6.80322	6.268268	0.98744
E712_310	1.5426278	2.0861905	0.38693
E899_422	1.3799675	-1.4473898	0.52764
E413_80	7.6053066	7.2373676	0.09799
E647_790	-6.6187263	6.482163	0.98995
E396_427	-0.094644904	2.5092254	0.53392
E179_723	-6.3815985	6.3036036	0.90578
E409_474	1.1122009	-0.45316893	0.59296
E15_513	0.4723881	-4.860073	0.64196
E549_236	2.4678378	3.3702867	0.29397
E847_313	1.5229031	3.4074194	0.3907
E567_627	-6.276382	5.2322454	0.78518
E590_643	2.0743454	-6.605847	0.80528
E406_788	0.3264171	-6.861779	0.98744
E817_220	3.2865376	3.8044748	0.27387
E469_637	-6.727156	5.3334565	0.79774
E332_592	1.468197	-6.188642	0.74121
E557_243	2.775041	3.5394871	0.30276
E545_682	1.6769774	-6.0169153	0.85427
E764_459	0.8980178	1.0718253	0.57412
E614_133	6.8381305	7.159014	0.16457
E360_309	3.1052196	3.9093072	0.38568
E378_414	1.186236	-0.047457743	0.51759
E452_761	0.63968545	-6.4743953	0.95352
E957_777	-0.29831305	-5.975376	0.97362
E229_712	0.37223133	-6.0623765	0.89196
E798_612	-7.355004	5.5999203	0.76633
E112_227	2.8624787	3.4641721	0.28266
E137_231	2.8417232	2.4596164	0.28769
E851_156	4.846354	4.874232	0.19347
E364_318	3.4584172	3.5323632	0.39698
E767_290	2.60463	4.1821694	0.36181
E245_386	1.4044596	0.72108996	0.48241
E467_331	-1.7196589	3.5722334	0.41332
E192_283	2.1856852	1.5754601	0.35302
E931_557	-4.6802344	4.4522967	0.69724
E427_255	3.3389244	2.4721017	0.31784
E821_218	4.3343215	4.39928	0.27136
E917_189	5.0176325	4.729718	0.23492
E259_237	2.8915482	3.6097422	0.29523
E524_775	-6.5710497	6.500765	0.97111
E227_444	1.0339783	-2.0180428	0.55528
E886_151	6.277602	6.4236684	0.18719
E507_104	6.1261864	6.3936114	0.12814
E548_172	5.092336	5.36135	0.21357
E204_772	-6.900202	6.2262797	0.96734
E384_652	-7.2706676	6.0509057	0.81658
E171_62	8.184709	7.3314314	0.07538
E511_785	1.1381407	-6.5228205	0.98367
E190_732	1.0896701	-6.6117487	0.91709
E916_220	3.6344817	3.3867552	0.27387
E491_366	1.1946018	-1.6612054	0.45729
E572_303	2.7020257	2.7973058	0.37814
E812_745	0.041136485	-6.0638824	0.93342
E477_666	0.4393896	-5.7419662	0.83417
E4_301	1.9619372	2.73923	0.37563
E310_775	-5.873404	5.291669	0.97111
E670_589	-5.9195013	5.7075267	0.73744
E782_321	1.21872	-1.413852	0.40075
E356_620	-5.972793	5.4398284	0.77638
E248_404	-0.21317199	2.093539	0.50503
