	dim1	dim2	pt
E565_95	3.0898554	-11.370831	0.11728
E956_469	2.5935652	2.4195986	0.5889
E804_234	0.53040624	-3.9838402	0.29256
E439_393	-2.895599	-0.29541785	0.49306
E345_365	2.502415	1.06589	0.45776
E53_303	2.4475923	0.07952094	0.37957
E960_583	-0.04695029	7.1979756	0.73266
E900_764	-1.9223785	9.998109	0.96091
E694_136	2.5499566	-6.8765793	0.16898
E16_562	-3.5370677	1.4331108	0.70618
E505_757	-2.4747674	11.269169	0.95208
E130_573	2.1573331	4.1429787	0.72005
E264_520	-3.7080731	1.0792842	0.65322
E807_614	-0.64929235	7.707409	0.77175
E120_249	0.58811176	-4.001477	0.31148
E42_560	-3.7757704	2.0695324	0.70366
E33_67	1.7890687	-11.112369	0.08197
E485_194	1.3529278	-6.6370673	0.24212
E613_371	1.9391915	-0.28426328	0.46532
E510_705	-0.7940879	9.060904	0.88651
E343_748	-0.79281116	9.140662	0.94073
E922_690	-2.2845173	8.546359	0.86759
E371_122	1.4853483	-9.772218	0.15132
E423_648	-3.0755825	6.517583	0.81463
E240_755	-1.8388301	9.41604	0.94956
E183_192	1.4020157	-8.02442	0.2396
E202_250	0.374723	-6.0286107	0.31274
E777_476	1.7250515	0.4928809	0.59773
E732_484	-3.533246	2.8255982	0.60782
E490_221	0.63901365	-3.8597758	0.27617
E893_23	3.0565262	-12.334208	0.02648
E729_719	-1.5457283	10.530116	0.90416
E838_464	2.2080564	3.869789	0.5826
E793_248	1.0434889	-6.4630404	0.31021
E271_673	-2.8999736	6.0167956	0.84615
E31_392	3.1185591	2.0083	0.4918
E989_87	2.3913052	-10.728627	0.10719
E765_643	1.8970486	4.759051	0.80832
E365_199	1.8146936	-6.560329	0.24842
E728_272	0.39675266	-2.3825727	0.34048
E856_633	-3.4743433	4.0697503	0.79571
E766_70	2.974582	-11.664566	0.08575
E341_443	2.5679507	2.3861778	0.55612
E992_562	-3.63531	3.0708182	0.70618
E968_4	2.5363002	-12.955501	0.00252
