	dim1	dim2	pt
E926_197	-1.0281731	2.828446	0.2459222082810539
E171_70	3.945313	2.0059388	0.0865746549560853
E175_117	2.7376738	2.6622968	0.1455457967377666
E107_529	-5.0594544	-5.442764	0.6624843161856964
E293_390	-1.2155578	4.956043	0.4880803011292346
E106_406	-5.103001	-3.2593956	0.5081555834378921
E190_756	4.9062395	-4.1686053	0.9473023839397742
E15_619	3.5816174	-5.7517595	0.7754077791718946
E824_276	-0.51471555	4.4589596	0.3450439146800502
E362_258	-4.401622	2.021422	0.3224592220828105
E558_616	-0.10896894	-7.415868	0.7716436637390214
E882_138	0.23836352	3.7091877	0.1718946047678795
E974_80	5.0826573	0.9270386	0.0991217063989962
E796_626	-0.022289637	-6.421084	0.7841907151819323
E244_297	-2.5303893	3.6874063	0.3713927227101631
E541_430	-4.922434	-2.3924606	0.5382685069008782
E563_111	3.2417045	2.4355538	0.13801756587202
E246_579	3.053361	-6.323269	0.7252195734002509
E416_339	-4.669795	1.3183239	0.424090338770389
E693_604	0.36812195	-7.267998	0.7565872020075283
E948_759	4.731076	2.7021415	0.9510664993726474
E520_9	7.4570312	-1.2236724	0.0100376411543287
E98_625	-3.7550528	-5.3127418	0.7829360100376411
E52_423	-5.0227237	-4.791812	0.5294855708908407
E0_591	-5.5604286	-0.3066881	0.740276035131744
E980_36	6.5505376	0.03898699	0.0439146800501882
E300_610	-3.222253	-6.30095	0.7641154328732748
E437_783	4.360206	-4.4143934	0.9811794228356336
E18_165	2.5793545	2.9231136	0.205771643663739
E145_650	2.4385245	-6.3172145	0.8143036386449184
E803_674	3.6598678	-5.4628634	0.8444165621079046
E703_515	-6.0381393	-2.3159053	0.644918444165621
E875_194	6.125705	1.596264	0.2421580928481806
E277_627	-0.13954833	-8.132539	0.7854454203262233
E363_133	2.791302	3.356294	0.1656210790464241
E983_733	3.5692203	-5.2703986	0.918444165621079
E943_486	2.452854	-5.9106345	0.6085319949811794
E75_112	3.8159943	2.076082	0.1392722710163111
E570_386	-6.451334	-1.1428084	0.4830614805520702
E176_432	-4.5655084	-3.719956	0.5407779171894604
E154_83	5.538031	0.30020884	0.1028858218318695
E530_113	5.518935	0.58757675	0.1405269761606022
E77_275	-3.1495736	3.1726725	0.3437892095357591
E49_51	6.4792824	0.25672138	0.0627352572145545
E380_189	0.21211605	3.6408172	0.2358845671267252
E994_688	5.380627	-2.045222	0.8619824341279799
E749_696	0.33051708	-6.8334136	0.8720200752823086
E774_660	2.5432136	-7.3085847	0.8268506900878294
E725_607	-0.85775113	-7.2236714	0.7603513174404015
E645_524	-4.53102	-1.6032777	0.6562107904642409
E610_174	6.1096807	1.7442088	0.2170639899623588
E83_61	6.199239	0.16406946	0.0752823086574654
E931_29	6.8889465	-0.8480832	0.0351317440401505
E201_157	-0.07707625	4.7334785	0.1957340025094102
E790_678	0.9838725	-6.9068947	0.849435382685069
E87_738	6.5382957	1.2609564	0.9247176913425345
E444_728	5.060916	-3.7677839	0.9121706398996235
E894_568	-3.0655994	-5.3444014	0.7114178168130489
E351_71	6.3652573	-1.8312515	0.0878293601003764
E53_362	-5.3777666	-2.7493143	0.452948557089084
E630_795	5.3183947	-1.4358977	0.9962358845671268
E257_189	-3.2254896	3.2111256	0.2358845671267252
E167_191	-3.0258706	4.2014523	0.2383939774153074
E47_135	2.951007	2.9494503	0.1681304893350062
E710_7	7.6107116	-0.92144483	0.0075282308657465
E229_535	1.5489131	-6.5406127	0.6700125470514429
E8_2	7.5438848	-1.1068486	0.001254705144291
E187_491	-5.0637197	-5.166897	0.6148055207026348
E827_567	1.9984893	-6.011547	0.7101631116687579
E955_717	4.069891	-5.7945247	0.8983688833124216
E392_621	3.5400887	-6.3142567	0.7779171894604768
E111_308	-4.194489	2.2222466	0.3851944792973651
E247_81	3.7290847	2.8701587	0.1003764115432873
E996_442	-5.636643	-0.97098535	0.5533249686323714
E196_280	-4.93438	1.8918947	0.3500627352572145
E717_40	7.031472	-0.46064296	0.0489335006273525
E128_482	-4.29079	-4.613861	0.6035131744040151
E906_141	5.8861923	1.8563886	0.1756587202007528
E876_534	0.60757923	-6.4926844	0.6687578419071518
E205_342	-3.99484	0.2778351	0.4278544542032622
E345_721	2.7924895	-7.1849966	0.903387703889586
E359_366	-0.52579325	3.491351	0.4579673776662484
E949_637	6.237468	1.7787004	0.7979924717691342
E877_412	-4.6217437	-3.629933	0.5156838143036386
E556_491	-5.505424	-3.3636363	0.6148055207026348
E584_111	2.412779	3.3485649	0.13801756587202
E951_663	3.4038818	-5.710154	0.8306148055207027
E434_571	-1.0096282	-7.703296	0.7151819322459222
E862_202	-2.0511498	3.4465547	0.2521957340025094
E849_245	-3.9230125	2.1686556	0.3061480552070263
E671_393	-4.178528	-4.2280755	0.4918444165621079
E268_264	-2.9443455	2.7409308	0.3299874529485571
E424_445	-5.7593794	-2.9432719	0.5570890840652447
E472_335	-3.064066	3.3843102	0.4190715181932246
E521_486	-5.594154	-3.2120855	0.6085319949811794
E823_734	4.0921597	-5.1246185	0.9196988707653702
E124_104	4.330828	1.2274739	0.1292346298619824
E352_638	1.7677852	-6.3331575	0.7992471769134254
E90_68	4.121392	1.3674808	0.0840652446675031
E575_630	-0.08169747	-6.54142	0.7892095357590966
E649_636	2.7251632	-5.8669024	0.7967377666248432
E837_760	4.9483685	-4.566845	0.9523212045169384
E65_377	-5.085501	-1.8487282	0.4717691342534504
E670_574	1.013379	-6.1288137	0.7189460476787954
E234_276	-0.7788352	5.3865223	0.3450439146800502
E867_742	4.4406047	-5.488891	0.9297365119196987
E138_759	4.064227	-5.331874	0.9510664993726474
E561_429	-4.6926894	-4.6159673	0.5370138017565872
E697_107	3.735062	3.3203592	0.1329987452948557
E366_473	-2.227601	-7.162191	0.5922208281053952
E689_549	-3.3929536	-5.742233	0.6875784190715182
E84_642	3.535251	-6.3785934	0.8042659974905897
E982_679	4.5446105	-4.9807177	0.8506900878293601
E600_400	-4.575967	2.7099586	0.5006273525721455
E732_102	6.1606507	-0.07464402	0.1267252195734002
E283_791	5.091356	-3.359992	0.9912170639899625
E243_437	-3.642616	-4.588815	0.5470514429109159
E914_355	-4.9297795	-2.3893197	0.4441656210790464
E832_578	-2.6113756	-7.126578	0.7239648682559598
E11_525	1.3880581	-6.7948203	0.657465495608532
