	dim1	dim2	pt
E757_171	-5.0561624	1.6558511	0.3420523138832998
E940_93	-9.686864	1.5576385	0.1851106639839034
E54_132	-5.6464767	0.8944997	0.2635814889336016
E520_323	6.394264	-0.10946537	0.647887323943662
E307_176	-2.788081	1.709061	0.352112676056338
E287_412	9.965138	-2.5415475	0.8269617706237424
E707_247	2.1054637	0.9655925	0.4949698189134809
E915_418	7.3327084	-3.18885	0.8390342052313883
E299_202	-0.44678	-0.050552562	0.4044265593561368
E789_241	-2.3977942	1.8195578	0.482897384305835
E264_288	0.122029684	0.38568342	0.5774647887323944
E917_165	-5.2346635	0.60493773	0.3299798792756539
E156_13	-12.192885	3.1397471	0.0241448692152917
E918_354	4.777812	-2.5123637	0.710261569416499
E4_447	9.36293	-2.7046854	0.89738430583501
E267_240	4.627091	-1.7441115	0.4808853118712273
E399_151	-4.578641	2.6207137	0.3018108651911468
E234_342	6.5041776	0.13854542	0.6861167002012073
E17_14	-12.332602	3.963386	0.0261569416498993
E780_474	12.102593	-2.0863953	0.9517102615694164
E53_247	3.9332561	-0.0045775403	0.4949698189134809
E216_200	0.37992766	0.8087436	0.4004024144869215
E959_185	-2.2240078	0.037419185	0.3702213279678068
E393_248	-4.367518	-0.5705358	0.4969818913480885
E182_408	6.9112787	-2.0561345	0.8189134808853119
E109_450	8.926153	-1.0226827	0.903420523138833
E75_156	-9.183375	2.054295	0.3118712273641851
E483_210	-0.89475137	-0.50934	0.4205231388329979
E252_332	0.55044264	1.1448722	0.6659959758551308
E804_169	-4.3586993	1.2608126	0.3380281690140845
E667_367	5.439811	-2.0358481	0.7364185110663984
E7_118	-7.328442	1.5003927	0.2354124748490945
E733_132	-5.4859705	2.2087574	0.2635814889336016
E873_301	5.941496	-2.3901412	0.6036217303822937
E911_288	2.1444218	0.23067628	0.5774647887323944
E937_376	7.1857457	-2.226422	0.7545271629778671
E705_439	7.045826	-1.6453556	0.8812877263581489
E928_438	5.0626426	-2.2090807	0.8792756539235412
E456_245	0.10157845	-0.7532301	0.4909456740442656
E708_266	-2.5849056	-0.03801579	0.5331991951710262
E954_444	8.838235	-4.031633	0.8913480885311871
E137_277	3.7932143	-0.7109685	0.5553319919517102
E217_232	-0.20339836	1.294931	0.4647887323943662
E724_398	7.751845	-0.30197692	0.7987927565392354
E115_142	-9.435855	3.122139	0.2837022132796781
E128_349	7.303052	-1.6474289	0.7002012072434608
E220_110	-7.8848796	0.36296767	0.2193158953722334
E366_438	10.151795	-2.0196593	0.8792756539235412
E907_123	-6.1223145	2.8605416	0.2454728370221328
E258_257	0.12608723	-1.1619463	0.5150905432595574
E978_459	9.3681755	-2.2699594	0.921529175050302
E121_470	10.35401	-3.0776584	0.943661971830986
E237_56	-10.331767	2.3054538	0.1106639839034205
E99_225	-1.73107	1.4999712	0.4507042253521127
E709_349	9.087895	-0.27626553	0.7002012072434608
E302_197	-1.4505013	1.7112027	0.3943661971830985
E586_428	9.715925	-2.4310367	0.8591549295774648
E587_401	5.1758027	-1.8255552	0.8048289738430584
E280_489	10.395356	-2.7922556	0.9818913480885312
E189_498	12.082619	-2.6759427	1.0
E443_476	10.324144	-3.1446412	0.9557344064386318
E541_456	11.238982	-2.7306955	0.9154929577464788
E414_425	7.1276445	-2.0867782	0.8531187122736419
E223_346	6.665681	-3.1031592	0.6941649899396378
E135_51	-10.797703	3.3194466	0.1006036217303823
E404_124	-7.476142	2.1073806	0.2474849094567404
E345_48	-11.447728	3.6997592	0.0945674044265593
E158_414	10.394371	-1.8590082	0.8309859154929577
E394_292	3.8785646	-1.8143047	0.5855130784708249
E495_366	1.8364615	-0.83635104	0.7344064386317908
E775_148	-5.8282104	2.1430862	0.2957746478873239
E78_199	-1.1435829	0.34286654	0.3983903420523139
E432_497	10.322457	-3.8821118	0.9979879275653925
E466_97	-9.5091095	2.502675	0.193158953722334
E764_202	-5.1013603	2.6575885	0.4044265593561368
E103_65	-10.589907	1.9267738	0.1287726358148893
E525_453	10.459337	-2.408331	0.909456740442656
E668_290	4.9589324	-3.0272303	0.5814889336016097
E323_339	6.218604	0.48110858	0.6800804828973843
E440_248	5.076368	-1.0242654	0.4969818913480885
E740_79	-8.280519	2.9361963	0.1569416498993963
E753_319	3.4832714	-1.1740447	0.6398390342052314
E173_383	8.241808	-2.412277	0.7686116700201208
E423_206	-0.8242545	1.0582783	0.4124748490945674
E998_446	6.942639	0.2970675	0.8953722334004024
E892_343	4.056843	-1.0890937	0.6881287726358148
E95_388	10.388585	-1.399246	0.778672032193159
E357_27	-11.839583	2.6445925	0.0523138832997987
E958_269	4.020375	0.23290335	0.5392354124748491
E554_424	9.472808	-2.4840324	0.8511066398390342
E621_334	2.7379653	-0.38747954	0.670020120724346
E51_441	9.919595	-2.5177226	0.8853118712273642
E72_286	5.2004867	-2.0651753	0.5734406438631791
E599_425	0.94162226	-0.63410485	0.8531187122736419
E645_293	5.3049283	0.43723607	0.5875251509054326
E107_237	1.0091465	-1.5551072	0.4748490945674044
E629_426	12.198044	-3.6595821	0.8551307847082495
E816_251	-0.4935488	-0.08265119	0.5030181086519114
E871_57	-10.564962	2.2067714	0.1126760563380281
E230_377	6.131166	-1.4727556	0.7565392354124748
E94_400	8.125394	0.26745492	0.8028169014084507
E193_459	9.367224	-1.6886781	0.921529175050302
E485_447	7.96647	-2.8226116	0.89738430583501
E962_429	8.328202	-2.778856	0.8611670020120724
E799_456	9.665385	-3.598689	0.9154929577464788
E809_190	-4.3673987	2.3392115	0.380281690140845
E781_142	-6.107709	1.154706	0.2837022132796781
E885_368	8.085236	-0.9089387	0.738430583501006
E143_185	-5.496023	-0.57657987	0.3702213279678068
E209_190	-4.876224	0.85356003	0.380281690140845
E766_79	-10.19554	2.1895812	0.1569416498993963
E519_74	-11.401575	3.6389678	0.1468812877263581
E960_420	4.8294196	-0.1846973	0.8430583501006036
E46_355	4.90449	-2.1966069	0.7122736418511066
E179_22	-12.45169	3.4526806	0.0422535211267605
E386_152	-4.900318	1.8765663	0.3038229376257545
E991_232	-2.8524685	0.7065419	0.4647887323943662
E624_327	4.922963	-1.7243178	0.6559356136820925
E658_38	-12.283915	3.8789089	0.0744466800804829
E822_67	-10.439485	3.164176	0.1327967806841046
E494_255	-0.43690196	0.43663844	0.5110663983903421
E310_102	-9.878838	2.6534505	0.2032193158953722
E589_140	-5.475742	1.1773454	0.2796780684104628
E626_479	12.47724	-2.6827726	0.9617706237424548
E73_401	7.346503	0.41844428	0.8048289738430584
E48_401	10.017135	-3.792243	0.8048289738430584
E756_181	-4.5619707	1.7827507	0.3621730382293762
E770_383	6.3143616	0.47661477	0.7686116700201208
E105_418	3.5688827	-1.5453426	0.8390342052313883
E576_422	9.226893	-4.1167283	0.8470824949698189
E361_326	6.927924	-3.185684	0.6539235412474849
E952_32	-11.792929	2.8428726	0.062374245472837
E102_225	-2.4985783	1.0395269	0.4507042253521127
E371_474	11.448706	-2.5638466	0.9517102615694164
E294_1	-12.737048	3.2828846	0.0
E164_363	2.970363	-1.7756656	0.7283702213279678
E202_260	-2.4194849	1.0783424	0.5211267605633803
E997_177	-1.2590357	0.080699496	0.3541247484909456
E588_255	-0.86966443	-1.4662471	0.5110663983903421
E380_376	6.6859903	-2.7009616	0.7545271629778671
E501_248	-0.9877019	-0.18633774	0.4969818913480885
E768_335	3.6403623	-2.1401522	0.6720321931589537
E45_168	-2.8132172	-0.41105235	0.3360160965794768
E838_141	-6.131396	1.3410896	0.2816901408450704
E153_313	5.267616	-1.0742962	0.6277665995975855
E846_72	-10.716207	3.6740372	0.1428571428571428
E964_272	1.488942	0.33026728	0.545271629778672
E902_331	3.0920217	-0.9005004	0.6639839034205232
E563_295	2.3995695	0.59048736	0.5915492957746479
E769_230	-0.329042	1.9444317	0.4607645875251509
E421_270	2.5693915	-1.7241894	0.5412474849094567
E124_361	5.422625	-1.0654738	0.7243460764587525
E823_187	-1.1072643	0.5651785	0.3742454728370221
E603_95	-9.677743	3.0363002	0.1891348088531187
E101_378	5.8694997	-2.4538853	0.7585513078470825
E422_151	-6.236688	1.5204382	0.3018108651911468
E992_245	0.8456282	-1.1002845	0.4909456740442656
E875_322	5.8294263	-1.470605	0.6458752515090543
E200_344	-0.13238217	-0.49298587	0.6901408450704225
E74_353	8.613247	-1.4922708	0.7082494969818913
E553_425	10.804552	-1.7257268	0.8531187122736419
E261_385	4.2904367	-2.4336133	0.772635814889336
E367_8	-12.524775	2.9566326	0.0140845070422535
E413_271	2.0869436	-1.1757505	0.5432595573440644
E122_161	-5.8247952	1.928799	0.3219315895372233
E947_459	8.633749	-1.3891866	0.921529175050302
E557_7	-12.635837	3.2224221	0.0120724346076458
E585_425	6.989396	-0.80051804	0.8531187122736419
E706_127	-6.1521287	2.732304	0.2535211267605634
E279_199	-3.68971	0.8474273	0.3983903420523139
E465_405	6.589532	-1.5311315	0.8128772635814889
E450_215	-1.7436415	1.6786573	0.4305835010060362
E802_488	7.6387653	-2.0745769	0.9798792756539236
E390_112	-6.6270638	1.9654218	0.2233400402414486
E720_387	7.46086	-2.1500974	0.7766599597585513
E356_155	-6.3597364	1.9382482	0.3098591549295774
E204_381	9.022871	-2.0757973	0.7645875251509054
E195_319	6.5953736	-2.493774	0.6398390342052314
E760_52	-10.563218	2.671236	0.1026156941649899
E611_243	1.3287281	-0.37751672	0.4869215291750503
E290_251	-2.046296	2.0427308	0.5030181086519114
E691_224	-2.097887	-0.43358612	0.448692152917505
E561_167	-2.3087213	1.2976767	0.3340040241448692
E595_210	-4.8315077	1.6191864	0.4205231388329979
E835_193	-4.124797	0.57982117	0.386317907444668
E630_52	-11.521528	2.7983735	0.1026156941649899
E315_17	-12.407171	3.2208688	0.0321931589537223
E12_115	-6.6951823	1.1193949	0.2293762575452716
E188_251	-0.5301881	-0.5470539	0.5030181086519114
E925_52	-9.98159	1.995402	0.1026156941649899
E482_165	-5.7415442	1.5559238	0.3299798792756539
E236_457	11.4121895	-2.7449634	0.9175050301810864
E913_46	-11.078753	2.7910788	0.090543259557344
E841_473	10.504997	-3.3997638	0.9496981891348087
E994_78	-11.106899	3.5638058	0.1549295774647887
E282_242	-1.2441162	1.6695048	0.4849094567404426
E185_467	9.862036	-1.8228582	0.937625754527163
E187_497	11.27147	-2.2683082	0.9979879275653925
E320_12	-12.435429	3.6165814	0.0221327967806841
E584_429	3.851025	-2.952849	0.8611670020120724
E438_182	-2.3177967	0.28274563	0.3641851106639839
E276_388	7.2504435	-3.2163868	0.778672032193159
E564_351	5.2021995	-2.190693	0.704225352112676
E435_155	-3.9692721	1.3786057	0.3098591549295774
E714_31	-11.718298	3.6170146	0.0603621730382293
E235_205	-2.1475897	0.15196113	0.4104627766599598
E737_443	11.964265	-2.3864713	0.8893360160965795
E129_307	-0.9268059	-1.4569681	0.6156941649899397
E792_394	7.9965787	-2.926153	0.7907444668008048
E262_95	-7.384037	2.2409613	0.1891348088531187
E880_267	0.30321643	-0.651664	0.5352112676056338
E815_41	-11.277591	3.874068	0.0804828973843058
E419_108	-9.757862	2.3144858	0.2152917505030181
E271_285	4.3455386	-0.42513216	0.5714285714285714
E52_491	12.271719	-3.0967343	0.9859154929577464
E710_374	10.377927	-3.0006616	0.7505030181086519
E619_398	8.006833	-1.8147824	0.7987927565392354
E683_249	-0.5174025	-0.04626727	0.4989939637826961
E594_283	1.3605188	-0.8447888	0.5674044265593562
E453_437	10.491149	-2.2099998	0.8772635814889336
E961_391	8.085482	-3.892489	0.7847082494969819
E671_14	-12.607353	4.0145273	0.0261569416498993
E597_304	5.847862	-0.73810595	0.6096579476861167
E34_409	9.801011	-2.4389198	0.8209255533199196
E903_106	-8.247371	2.3591897	0.2112676056338028
E979_230	1.0447806	-0.40674254	0.4607645875251509
E255_247	0.21503429	-1.552777	0.4949698189134809
E411_44	-12.13095	4.1059313	0.0865191146881287
E108_42	-11.497278	3.180511	0.0824949698189134
E665_106	-10.229636	4.1039667	0.2112676056338028
E888_180	-2.7387595	-0.14992028	0.3601609657947686
E974_295	5.0235834	-0.34010237	0.5915492957746479
E388_451	9.978399	-1.1514145	0.9054325955734408
E824_31	-11.847222	3.6633737	0.0603621730382293
E304_230	-0.32757258	1.2655505	0.4607645875251509
E329_197	-1.2581526	0.13396418	0.3943661971830985
E201_284	2.60615	-0.3929036	0.5694164989939637
E69_409	10.304255	-2.6122377	0.8209255533199196
E931_254	-0.35703173	-2.069909	0.5090543259557344
E312_38	-11.688271	3.780195	0.0744466800804829
E489_464	9.141943	-3.391862	0.93158953722334
E180_218	-1.8583741	0.7326089	0.4366197183098591
E498_301	5.2131763	0.77432406	0.6036217303822937
E142_131	-8.577661	3.0844493	0.2615694164989939
E579_401	9.610916	-1.6530035	0.8048289738430584
E827_168	-4.7734795	0.9866374	0.3360160965794768
E278_342	4.650883	-1.4229203	0.6861167002012073
E971_440	1.9741967	-2.0567799	0.8832997987927566
E734_208	-1.1370693	-0.34399876	0.4164989939637827
E385_493	11.817046	-2.6690328	0.9899396378269618
E833_333	0.8014229	-0.94134885	0.6680080482897385
E926_344	6.5961347	-3.303144	0.6901408450704225
E91_371	4.3849134	-2.7986555	0.744466800804829
E240_195	-2.1886368	1.3739129	0.3903420523138833
E805_318	4.381361	-0.8761536	0.6378269617706237
E426_463	12.1386595	-3.5177858	0.9295774647887324
E736_454	11.192707	-1.7921859	0.9114688128772636
E171_13	-12.349347	3.8505251	0.0241448692152917
E348_38	-11.299563	2.3719673	0.0744466800804829
E273_399	7.733544	-0.10259305	0.8008048289738431
E904_37	-11.975144	3.9025645	0.0724346076458752
E837_112	-10.518293	3.4735322	0.2233400402414486
E718_237	-2.4876676	2.2846355	0.4748490945674044
E516_129	-8.956195	3.3625357	0.2575452716297787
E490_259	4.0846057	-0.4672411	0.5191146881287726
E972_477	11.463179	-2.843628	0.9577464788732394
E870_217	-0.18563844	-0.9567929	0.4346076458752515
E382_396	9.197637	-2.6268437	0.7947686116700201
E181_387	10.334474	-0.6182932	0.7766599597585513
E283_237	-1.0476111	-0.95897955	0.4748490945674044
E681_26	-12.144632	4.034982	0.0503018108651911
E540_366	10.905301	-2.099802	0.7344064386317908
E65_356	5.82637	-2.8164399	0.7142857142857143
E869_296	-1.7414935	0.21107852	0.5935613682092555
E650_33	-12.112139	3.7426026	0.0643863179074446
E325_64	-9.801987	2.6454868	0.1267605633802817
E468_242	-1.1576723	0.3350964	0.4849094567404426
E539_91	-8.816728	1.7044803	0.1810865191146881
E825_130	-7.780267	1.0910789	0.2595573440643863
E467_278	2.169342	0.1002268	0.5573440643863179
E675_342	5.4252663	0.13704404	0.6861167002012073
E858_140	-9.768031	3.4368129	0.2796780684104628
E818_5	-12.73897	3.884949	0.0080482897384305
E523_348	5.364562	0.20282117	0.6981891348088531
E93_313	5.771622	-0.6737846	0.6277665995975855
E550_127	-4.7609043	0.99317455	0.2535211267605634
E326_265	2.5965893	0.44212326	0.5311871227364185
