	dim1	dim2	pt
E258_1034	-5.754305	5.5107465	0.6937541974479516
E156_1127	-8.446942	7.716256	0.7562122229684352
E533_370	5.103895	-4.218271	0.2478173270651444
E839_1009	-5.4765825	5.4302745	0.6769644056413701
E103_478	3.1418605	-2.5895693	0.3203492276695769
E106_87	8.889123	-8.192201	0.0577568838146407
E871_563	1.3061597	-0.76788485	0.3774345198119543
E397_54	9.222654	-8.731586	0.0355943586299529
E76_774	-1.5503393	1.3354174	0.519140362659503
E588_1026	-5.375725	5.439355	0.6883814640698456
E317_1402	-9.351301	9.093144	0.9408999328408328
E392_363	6.2824516	-5.373795	0.2431161853593015
E10_961	-6.053454	5.048274	0.6447280053727333
E965_1029	-2.9515438	2.8487618	0.6903962390866353
E285_203	7.0762177	-6.37283	0.1356615177971793
E49_765	-0.8580056	0.93693465	0.5130960376091337
E363_697	-0.82037205	-0.047829658	0.4674278038952317
E540_1329	-9.644048	9.671368	0.8918737407656145
E921_1339	-8.591965	8.529955	0.8985896574882472
E341_916	-6.266276	6.2031765	0.6145063801208865
E960_197	7.545745	-7.7504754	0.1316319677635997
E969_527	2.6682353	-2.6156752	0.3532572196104768
E884_317	6.0767565	-5.682547	0.2122229684351914
E907_1478	-11.433124	10.35325	0.9919408999328408
E151_641	0.2193803	0.14815797	0.4298186702484889
E101_1467	-10.083298	9.813056	0.984553391537945
E252_1116	-8.490395	7.8461776	0.7488247145735393
E70_887	-2.888561	2.4328392	0.5950302216252519
E362_119	8.341222	-8.29707	0.0792478173270651
E209_420	3.6324797	-2.8968625	0.2813969106783076
E137_791	-0.7673213	0.9849843	0.5305574210879785
E847_371	4.5651493	-4.5650864	0.2484889187374076
E452_258	6.9674954	-6.2603602	0.1725990597716588
E478_85	8.946093	-9.097052	0.0564137004701141
E456_417	4.062666	-3.4349957	0.2793821356615178
E488_1346	-7.78926	8.281777	0.90329079919409
E177_52	9.183258	-9.281527	0.0342511752854264
E569_1369	-11.670984	10.238988	0.9187374076561452
E45_1385	-9.9574795	9.953272	0.9294828744123572
E441_313	4.6708984	-4.265115	0.2095366017461383
E538_118	8.358569	-8.025684	0.0785762256548018
E544_829	-1.4730583	2.3576765	0.5560779046339825
E767_1415	-10.531797	10.00417	0.9496306245802552
E41_590	0.9645156	-0.8005091	0.3955674949630625
E561_198	7.6409636	-7.2742333	0.132303559435863
E178_912	-5.1766534	4.5197315	0.6118200134318335
E768_1045	-6.798708	5.4487844	0.7011417058428475
E75_898	-4.4321747	5.2044373	0.6024177300201478
E698_1273	-9.763274	9.301435	0.8542646071188718
E780_184	7.794153	-6.820131	0.1229012760241773
E973_70	9.521739	-8.714997	0.0463398253861652
E474_676	0.3799985	0.25752667	0.4533243787777031
E410_565	0.57307124	-0.33251807	0.3787777031564808
E858_1474	-10.902184	10.1594715	0.9892545332437878
E95_929	-2.816845	2.206829	0.623237071860309
E628_82	9.01565	-8.375593	0.0543989254533243
E720_1331	-8.696634	7.602046	0.8932169241101411
E219_790	-1.4727372	2.5056715	0.5298858294157153
E27_562	0.9649595	-0.93110585	0.3767629281396911
E674_812	0.09655588	1.5405704	0.544660846205507
E25_1346	-9.969558	9.025941	0.90329079919409
E772_819	-2.2375276	2.1694093	0.5493619879113499
E827_1465	-10.624479	9.955624	0.9832102081934184
E581_331	4.3414726	-3.9363463	0.2216252518468771
E506_1	9.609114	-9.338371	0.0
E559_856	-3.5014706	3.4854333	0.5742108797850907
E108_484	2.4573703	-1.8313822	0.3243787777031565
E825_494	2.7890382	-2.1764135	0.3310946944257891
E311_1412	-10.93326	10.0955715	0.9476158495634656
E257_667	-1.4711529	1.0964805	0.4472800537273337
E527_121	9.003937	-7.7261744	0.0805910006715916
E299_732	1.4181607	-1.1443751	0.4909335124244459
E671_506	3.603736	-2.852411	0.3391537944929483
E58_1033	-8.133988	7.2130504	0.6930826057756884
E401_929	-6.0374064	4.9316363	0.623237071860309
E918_292	6.8564	-5.7701306	0.1954331766286098
E259_873	-2.3934603	2.6652377	0.5856279382135662
E781_312	7.0732055	-4.8912435	0.2088650100738751
E926_1429	-11.025479	9.898232	0.9590329079919409
E868_1261	-7.224639	8.317566	0.8462055070517126
E789_1139	-6.96959	5.7478833	0.7642713230355943
E670_103	8.934596	-8.01877	0.0685023505708529
E302_1366	-9.163035	9.021698	0.9167226326393552
E939_315	6.6464562	-5.1330547	0.2108797850906648
E824_513	2.0224953	-1.5665038	0.3438549361987911
E627_651	0.015615642	0.727708	0.4365345869711216
E938_1164	-9.413686	8.819983	0.781061114842176
E432_1277	-7.1024885	6.3912807	0.8569509738079247
E385_1076	-7.146971	6.9478536	0.7219610476830087
E539_772	-2.1219997	2.0684743	0.5177971793149765
E127_571	2.3730347	-1.4696991	0.3828072531900604
E201_490	1.4029875	-1.9851002	0.328408327736736
E879_341	5.4156194	-4.468392	0.2283411685695097
E457_1019	-5.441497	5.009163	0.6836803223640027
E731_754	-2.1833968	1.8527414	0.5057085292142377
E53_836	-2.694717	3.4308288	0.5607790463398253
E166_318	4.941881	-4.60552	0.2128945601074546
E189_653	-0.79074204	-0.31810504	0.437877770315648
E924_275	5.6987605	-5.628889	0.1840161182001343
E814_125	8.397898	-8.402937	0.0832773673606447
E306_87	9.300039	-8.344275	0.0577568838146407
E739_330	5.6337004	-5.3745604	0.2209536601746138
E723_556	1.4579105	-1.6069942	0.3727333781061114
E579_229	7.5837073	-6.2241554	0.1531229012760241
E583_877	-4.1182327	3.6395028	0.5883143049026192
E319_748	-0.84570795	1.3903039	0.5016789791806582
E91_750	-2.5815048	1.9157336	0.5030221625251847
E90_1119	-7.2469897	7.4845414	0.7508394895903291
E395_1155	-5.443297	6.025394	0.7750167897918065
E118_1130	-6.9549165	5.772931	0.758226997985225
E501_39	9.613068	-8.721345	0.025520483546004
E906_499	2.6237032	-2.2572334	0.3344526527871054
E223_1204	-8.156905	8.043948	0.8079247817327065
E141_528	1.8723886	-1.9137586	0.3539288112827401
E155_183	7.555545	-6.965462	0.122229684351914
E797_1416	-11.61279	9.315648	0.9503022162525184
E483_65	9.607323	-8.58905	0.0429818670248488
E700_1113	-8.65282	7.0343595	0.7468099395567495
E930_729	-0.43631837	0.36818618	0.4889187374076561
E822_1411	-10.590157	9.779394	0.9469442578912022
E214_332	5.9211216	-5.0277376	0.2222968435191403
E31_883	-3.1562858	3.0107868	0.5923438549361988
E436_938	-5.7626305	4.12881	0.6292813969106783
E381_33	9.650948	-8.524291	0.0214909335124244
E991_1305	-10.306545	9.874038	0.8757555406312961
E719_555	0.9118767	-0.6414837	0.3720617864338482
E577_1444	-10.555007	11.064437	0.9691067830758898
E651_114	8.833205	-8.06649	0.0758898589657488
E556_548	2.316634	-2.2123988	0.3673606447280054
E87_535	3.2408917	-2.2040043	0.3586299529885829
E161_774	-3.3604877	3.490234	0.519140362659503
E234_892	-5.196153	5.568354	0.5983881799865681
E142_785	-2.3847604	2.256842	0.5265278710543989
E279_1373	-11.461608	10.055219	0.921423774345198
E679_1336	-10.226306	9.064544	0.8965748824714573
E475_316	5.696824	-4.75318	0.2115513767629281
E830_749	-0.07717162	-0.6143854	0.5023505708529215
E647_288	5.2741833	-5.1397676	0.1927468099395567
E39_725	-2.9369383	2.3140304	0.4862323707186031
E233_535	1.1099056	-0.94517016	0.3586299529885829
E599_1461	-11.122528	9.604525	0.9805238415043652
E592_859	-2.8761594	3.225624	0.5762256548018805
E537_1049	-4.887446	4.84357	0.7038280725319006
E794_199	8.748103	-7.7394414	0.1329751511081262
E661_1149	-6.5955405	6.594907	0.770987239758227
E338_904	-4.4717174	3.9666324	0.6064472800537274
E808_232	6.8816504	-6.695288	0.1551376762928139
E783_1031	-6.576337	7.08074	0.6917394224311618
E568_629	0.702899	-0.74552846	0.4217595701813297
E749_495	2.013768	-1.8928195	0.3317662860980523
E695_51	9.621959	-8.31601	0.0335795836131632
E412_28	9.671961	-9.164201	0.0181329751511081
E849_1194	-9.022665	7.7012053	0.8012088650100738
E606_1088	-6.1523805	5.8693705	0.7300201477501679
E997_974	-7.187788	6.243779	0.6534586971121558
E555_915	-2.5772502	2.1234763	0.6138347884486233
E915_575	1.7514323	-2.1029897	0.3854936198791135
E520_614	-0.07775704	0.11553549	0.4116856950973808
E733_300	5.7740817	-4.6714783	0.2008059100067159
E414_1192	-6.423413	6.892656	0.7998656816655474
E26_598	0.24772216	-0.07692899	0.4009402283411685
E672_312	6.1646	-4.161436	0.2088650100738751
E471_685	0.20068929	0.29725555	0.4593687038280725
E86_439	2.5632992	-2.8245323	0.2941571524513096
E374_47	9.161586	-9.315031	0.0308932169241101
E482_250	7.602306	-7.068116	0.1672263263935527
E865_696	-1.1077964	1.2256548	0.4667562122229684
E499_80	9.359176	-8.14429	0.0530557421087978
E500_262	7.3956685	-7.180022	0.1752854264607118
E365_290	6.738362	-5.7836823	0.1940899932840832
E467_896	-4.025917	4.3782907	0.6010745466756212
E713_1058	-6.0084496	4.7787666	0.7098723975822699
E922_1403	-9.896964	9.409396	0.941571524513096
E639_54	9.527363	-8.458218	0.0355943586299529
E404_581	1.1017537	-1.1556815	0.3895231699126931
E656_1116	-5.7886424	5.8660808	0.7488247145735393
E347_181	7.875322	-6.7919135	0.1208865010073875
E802_1234	-7.969126	8.873908	0.8280725319006045
E940_74	9.193889	-9.210794	0.0490261920752182
E712_899	-5.0628357	4.970536	0.603089321692411
E550_325	5.7496	-4.7976394	0.2175957018132975
E63_302	6.5398645	-5.8843	0.2021490933512424
E165_72	8.843838	-8.9341755	0.0476830087306917
E111_845	-0.8713696	2.1398065	0.5668233713901948
E885_667	0.96577704	-0.96820307	0.4472800537273337
E180_144	8.735146	-6.81708	0.0960376091336467
E613_790	-3.255253	2.802309	0.5298858294157153
E641_973	-4.7272577	3.8392665	0.6527871054398925
E979_599	0.379289	-0.0693612	0.4016118200134318
E529_1419	-11.091761	9.7140045	0.9523169912693082
E925_173	7.902164	-7.6880054	0.1155137676292814
E2_1377	-9.8216715	10.058572	0.9241101410342512
E760_1272	-8.205488	7.455575	0.8535930154466085
E514_676	-1.2168094	-0.35826215	0.4533243787777031
E242_918	-4.7480617	4.7187915	0.615849563465413
E163_429	3.6436443	-3.007758	0.2874412357286769
E266_154	8.237102	-6.913664	0.1027535258562793
E331_676	-1.532384	0.87033993	0.4533243787777031
E541_330	5.502491	-4.2877684	0.2209536601746138
E372_966	-4.7920313	4.1877913	0.6480859637340497
E446_286	5.321875	-4.6052585	0.1914036265950302
E173_721	0.6823693	-0.49705723	0.48354600402955
E662_874	-2.525417	2.7426417	0.5862995298858295
E587_472	3.2783158	-2.4757712	0.3163196776359973
E951_1195	-10.340885	8.650701	0.8018804566823371
E897_807	-3.5183005	3.1202269	0.5413028878441908
E290_739	-2.5593257	1.4374938	0.4956346541302888
E800_476	3.3787937	-2.2844071	0.3190060443250503
E35_537	4.2613125	-4.285327	0.3599731363331094
E335_840	-2.134522	1.919038	0.5634654130288784
E618_249	7.901955	-6.787866	0.1665547347212894
E438_27	9.743093	-8.976489	0.0174613834788448
E890_46	9.11057	-9.085584	0.0302216252518468
E249_586	2.3985283	-1.4663945	0.3928811282740094
E493_442	2.9965386	-2.5704107	0.2961719274680994
E460_387	3.4852977	-2.9758558	0.2592343854936199
E451_882	-3.755935	3.1173337	0.5916722632639355
E860_405	2.8264055	-3.2155478	0.2713230355943586
E9_964	-4.833075	3.6668682	0.6467427803895232
E689_1211	-6.1300716	5.0758214	0.8126259234385493
E11_722	-0.26814687	0.8849429	0.4842175957018133
E232_309	5.4575357	-4.991003	0.2068502350570853
E447_1450	-11.445128	10.245079	0.9731363331094696
E686_1223	-9.484432	8.724655	0.8206850235057085
E851_412	4.1987743	-3.800195	0.2760241773002014
E14_1166	-7.0512815	6.31501	0.7824042981867025
E646_519	1.943997	-1.8531289	0.3478844862323707
E203_50	9.215167	-9.279422	0.0329079919408999
E130_502	3.6888828	-2.6000674	0.3364674278038952
E208_465	2.3037028	-2.0882628	0.3116185359301545
E305_1054	-4.0308604	4.3055243	0.707186030893217
E953_306	5.538668	-3.816228	0.2048354600402955
E148_1333	-9.2363205	8.518984	0.8945601074546675
E709_452	4.2714133	-3.964518	0.302887844190732
E337_778	-1.9157362	2.0761557	0.5218267293485561
E255_6	9.586932	-9.357899	0.0033579583613163
E464_508	2.462861	-1.9412322	0.3404969778374748
E288_1115	-7.9605517	7.390111	0.748153122901276
E735_164	9.199557	-7.7091417	0.109469442578912
