	dim1	dim2	pt
E948_341	-1.8073739	1.3758612	0.42588
E987_360	0.9048811	3.8052626	0.44975
E869_488	-1.9870235	4.3290176	0.61055
E17_223	1.0217991	-0.3370376	0.27764
E645_264	1.0071564	1.645547	0.32915
E366_240	1.13237	0.12698229	0.29899
E16_678	0.413034	-12.816432	0.84925
E911_773	-6.6731334	6.3195024	0.96859
E147_640	-6.284668	5.961914	0.80151
E354_562	1.7279273	-13.704166	0.70352
E504_167	1.4445946	-1.5946283	0.20729
E55_632	1.11875	-12.227082	0.79146
E424_42	2.4857292	-6.0543637	0.05025
E350_544	2.5751333	-11.573871	0.6809
E227_174	1.5023273	-2.9870112	0.21608
E368_267	0.8619453	1.2374035	0.33291
E414_540	3.2749581	8.305195	0.67588
E939_75	1.7362889	-6.197222	0.09171
E41_706	1.6313448	-12.461491	0.88442
E281_508	-4.4376917	5.6641345	0.63568
E639_246	0.5403325	0.46583018	0.30653
E664_413	2.2145393	6.4149165	0.51633
E612_258	0.96331227	0.93692124	0.32161
E27_84	2.3857586	-4.127155	0.10302
E491_263	0.4193017	2.4297054	0.32789
E197_37	2.5204413	-6.2331963	0.04397
E791_375	0.2683635	2.9868252	0.46859
E697_179	2.7110755	-1.7515025	0.22236
E115_339	-1.8867819	1.2974885	0.42337
E769_711	-6.3936076	6.142364	0.8907
E278_407	2.4644566	6.7833257	0.50879
E297_336	1.7669114	5.7940354	0.4196
E537_465	2.9142914	7.3118315	0.58166
E774_116	1.6113828	-3.1986506	0.14322
E373_327	-0.6476017	4.1136656	0.40829
E163_391	-1.2079568	3.4884088	0.48869
E469_395	-3.0081363	4.5844603	0.49372
E775_758	0.62300235	-12.826932	0.94975
E666_393	0.068318106	4.074618	0.49121
E758_684	-6.3304996	6.2231936	0.85678
E451_646	0.68899757	-12.3715925	0.80905
E359_703	3.803434	8.127753	0.88065
E422_613	1.5672531	-12.168539	0.76759
E802_654	-6.488345	6.8636565	0.8191
E588_609	0.88165367	-13.216492	0.76256
